province,province_key,month_num,mean_occupancy,seasonality_score
Aseer,aseer,10,0.3222369776325601,0.1645769690610043
Aseer,aseer,11,0.33252544174986887,0.2054627099886428
Aseer,aseer,12,0.3064776547049602,0.10195036249794559
Eastern Region,eastern region,1,0.5323874019634869,0.6538899889390234
Eastern Region,eastern region,2,0.5360294890576796,0.6747703686286878
Eastern Region,eastern region,3,0.5187595452662079,0.5757603849959314
Eastern Region,eastern region,4,0.418331799281346,0.0
Eastern Region,eastern region,5,0.5317843263756524,0.6504325078492302
Eastern Region,eastern region,6,0.501179594559906,0.4749731066635509
Eastern Region,eastern region,7,0.5013694034351984,0.4760612962872678
Eastern Region,eastern region,8,0.5009579900817298,0.47370263027856074
Eastern Region,eastern region,9,0.513988619704246,0.548408283130017
Eastern Region,eastern region,10,0.5501845808089324,0.7559226537509941
Eastern Region,eastern region,11,0.5927580859831857,1.0
Eastern Region,eastern region,12,0.5314016987746432,0.6482388728860362
Grand Total,grand total,1,0.5426814616543449,0.6919412390795867
Grand Total,grand total,2,0.5342414859051102,0.6139486780065708
Grand Total,grand total,3,0.5207715780371374,0.4894752620567645
Grand Total,grand total,4,0.4678029450704388,0.0
Grand Total,grand total,5,0.48467264894753587,0.1558904254005098
Grand Total,grand total,6,0.5177962584287915,0.46198077591600795
Grand Total,grand total,7,0.5279425466188954,0.5557411165666135
Grand Total,grand total,8,0.5274898202119443,0.5515575391497355
Grand Total,grand total,9,0.4915501938426746,0.21944479524750313
Grand Total,grand total,10,0.5280172302202288,0.5564312566228429
Grand Total,grand total,11,0.5760180829389503,1.0
Grand Total,grand total,12,0.570241303737342,0.9466176422689827
Hail,hail,1,0.49418722726422437,0.8064341685962496
Hail,hail,2,0.49469259723953035,0.8092359047706462
Hail,hail,3,0.4292057939753977,0.44618159878497
Hail,hail,4,0.3487247031358904,0.0
Hail,hail,5,0.40730688403058324,0.32477555732971464
Hail,hail,6,0.3951686143542935,0.2574818301429122
Hail,hail,7,0.4635299425904498,0.6364723036728686
Hail,hail,8,0.43970339833453975,0.5043795909781228
Hail,hail,9,0.4226812275015788,0.41000985371664556
Hail,hail,10,0.42943942270074753,0.44747682027254343
Hail,hail,11,0.5291021347885433,1.0
Hail,hail,12,0.47751951823623134,0.7140295430547933
Jazan,jazan,1,0.4998154375486732,1.0
Jazan,jazan,2,0.44447960731547176,0.6699685870438639
Jazan,jazan,3,0.38859500684376275,0.3366642238773545
Jazan,jazan,4,0.33214706399128696,0.0
Jazan,jazan,5,0.38132074853358433,0.2932794271154969
Jazan,jazan,6,0.37192529242123806,0.23724348000749582
Jazan,jazan,7,0.4378946351547067,0.6306947990237799
Jazan,jazan,8,0.4496222401433819,0.7006400411696477
Jazan,jazan,9,0.4105552596658952,0.46763855347933103
Jazan,jazan,10,0.4123577410265041,0.4783888298872547
Jazan,jazan,11,0.47630927106520327,0.8598056032587166
Jazan,jazan,12,0.4453738398818702,0.6753019277772752
Makkah Al-Mokarramah,makkah al mokarramah,1,0.47324382788508723,0.5784248275751672
Makkah Al-Mokarramah,makkah al mokarramah,2,0.4596127604101665,0.4232749366570591
Makkah Al-Mokarramah,makkah al mokarramah,3,0.4730969844641127,0.576753444113222
Makkah Al-Mokarramah,makkah al mokarramah,4,0.466558267018757,0.502329243641926
Makkah Al-Mokarramah,makkah al mokarramah,5,0.4427838597092081,0.2317270543779008
Makkah Al-Mokarramah,makkah al mokarramah,6,0.5007718939429848,0.8917514583711263
Makkah Al-Mokarramah,makkah al mokarramah,7,0.5102823303749625,1.0
Makkah Al-Mokarramah,makkah al mokarramah,8,0.5008883083904153,0.8930764968432316
Makkah Al-Mokarramah,makkah al mokarramah,9,0.4224249210383648,0.0
Makkah Al-Mokarramah,makkah al mokarramah,10,0.4440134651647738,0.24572252117859916
Makkah Al-Mokarramah,makkah al mokarramah,11,0.502075269154445,0.9065865783832213
Makkah Al-Mokarramah,makkah al mokarramah,12,0.5069996193771393,0.9626359231098368
Najran,najran,1,0.45784861011056366,0.3056173609501283
Najran,najran,2,0.46718326758987455,0.37430333129246907
Najran,najran,3,0.4454692309003336,0.214527819081558
Najran,najran,4,0.4163141690888901,0.0
Najran,najran,5,0.4567430102846028,0.2974821725916101
Najran,najran,6,0.45765350920161196,0.3041817758442237
Najran,najran,7,0.5066179843125609,0.6644705698093983
Najran,najran,8,0.5522175774965404,1.0
Najran,najran,9,0.5111895035524463,0.6981085726634023
Najran,najran,10,0.4883818661182455,0.530286163340246
Najran,najran,11,0.4819998712331281,0.48332637800525097
Najran,najran,12,0.46236077465809217,0.3388186220545886
Northern Borders,northern borders,1,0.42143567575844726,0.7858914688211831
Northern Borders,northern borders,2,0.4506200875393121,1.0
Northern Borders,northern borders,3,0.38638742685719096,0.5287634804627623
Northern Borders,northern borders,4,0.31431346014719336,0.0
Northern Borders,northern borders,5,0.35948450071537735,0.3313928415104766
Northern Borders,northern borders,6,0.3542435395321719,0.2929430516251429
Northern Borders,northern borders,7,0.3932281828469654,0.5789500056571345
Northern Borders,northern borders,8,0.4140931664573912,0.7320238804174763
Northern Borders,northern borders,9,0.39800220077553494,0.6139741128477255
Northern Borders,northern borders,10,0.40614454001865125,0.6737095739833966
Northern Borders,northern borders,11,0.4259101827832705,0.8187182440883256
Northern Borders,northern borders,12,0.41629636127735503,0.7481873998450814
Tabouk,tabouk,1,0.5090037808249749,0.41803747622059345
Tabouk,tabouk,2,0.5014513193116996,0.3651757027077679
Tabouk,tabouk,3,0.5255493267098983,0.533844342323455
Tabouk,tabouk,4,0.4492779763266309,0.0
Tabouk,tabouk,5,0.5561455888452489,0.7479960697430549
Tabouk,tabouk,6,0.5513060876479497,0.7141230581749718
Tabouk,tabouk,7,0.5715003178737179,0.8554680782831868
Tabouk,tabouk,8,0.5921498667569218,1.0
Tabouk,tabouk,9,0.5594932388824472,0.7714272011371737
Tabouk,tabouk,10,0.5650232056980994,0.8101329731333128
Tabouk,tabouk,11,0.5896713590598385,0.9826522369822449
Tabouk,tabouk,12,0.5369842186895366,0.6138803238254815
